Data,UF,Total_Focos,Qtd_Municipios_Com_Fogo,Media_Focos_Mun_Com_Fogo,FRP_Medio,FRP_Soma,FRP_Maximo,Risco_Fogo_Medio,Dias_Secos_Medio,Precipitacao_Media,Temp_Max_Media,Temp_Min_Media,Umidade_Relativa_Media,VPD_Medio,Evapotranspiracao_Media,Radiacao_Solar_Media,Velocidade_Vento_Media,CABIXI_15124009,PIMENTEIRAS_15130000,PEDRAS_NEGRAS_15150000,PRINCIPE_DA_BEIRA_15200000,BOCA_DO_POMPEU_-_JUSANTE_15248010,GUAJARÁ-MIRIM_15250000,PORTO_VELHO_15400000,FAZENDA_FLOR_DO_CAMPO_15552600,PIMENTA_BUENO_15558000,JIPARANÁ_15560000
2007-09,RO,31512.0,52.0,606.0,54.95,1192317.0,4835.4,-,-,45.81,34.47,20.18,70.1,1.08,110.82,478.17,0.81,209.12,305.55,241.73,385.37,77.13,544.82,275.8,255.87,376.35,638.22
2007-10,RO,12337.0,52.0,237.25,51.34,434318.1,2860.2,-,-,168.37,33.12,21.24,78.46,0.78,119.99,534.89,0.89,241.61,314.65,240.39,374.94,82.18,548.9,358.5,269.9,425.5,674.32
2007-11,RO,566.0,41.0,13.8,33.72,12174.6,866.2,-,-,248.73,31.75,21.85,83.41,0.59,112.47,512.85,0.99,263.8,373.9,280.2,424.82,132.33,649.52,753.8,291.45,467.7,717.72
2007-12,RO,103.0,30.0,3.43,19.13,1511.6,117.0,-,-,247.81,31.17,21.81,84.66,0.53,119.05,559.21,0.94,325.15,487.94,431.21,662.45,319.19,812.95,1043.1,301.05,586.52,798.89
2008-01,RO,18.0,8.0,2.25,9.59,105.5,19.2,-,-,362.37,29.92,22.0,87.35,0.43,102.86,482.53,0.92,394.34,527.56,559.52,831.37,518.58,962.1,1312.44,402.97,729.4,893.35
2008-02,RO,20.0,13.0,1.54,8.68,147.6,27.2,-,-,309.81,30.39,21.76,86.63,0.45,100.52,473.44,0.91,437.88,685.5,640.05,964.45,515.76,1040.95,1533.22,437.78,788.47,998.8
2008-03,RO,7.0,7.0,1.0,8.93,26.8,10.8,-,-,302.61,30.37,21.85,87.44,0.43,99.88,471.88,0.91,430.89,678.24,719.03,1216.24,491.85,1120.48,1589.56,411.98,812.26,973.81
2008-04,RO,30.0,12.0,2.5,13.55,365.9,41.2,-,-,175.88,30.55,20.98,85.56,0.48,98.9,483.35,0.95,416.08,676.65,725.9,1333.82,479.87,1261.67,1624.25,376.45,650.74,872.68
2008-05,RO,42.0,18.0,2.33,14.38,560.9,97.6,-,-,93.73,29.83,19.79,82.45,0.55,93.59,465.24,1.07,333.92,571.23,679.47,1306.52,394.74,1208.67,1430.65,325.34,532.87,767.83
2008-06,RO,164.0,30.0,5.47,15.91,2147.3,187.3,-,-,3.05,30.36,17.96,79.41,0.62,91.97,472.1,1.02,277.49,455.69,593.99,1229.01,345.92,1005.97,1111.67,291.56,459.67,708.65
2008-07,RO,1111.0,47.0,23.64,28.91,21943.1,295.1,-,-,3.21,33.87,17.3,65.94,1.11,118.6,568.97,0.96,234.9,379.48,439.17,928.48,214.77,769.53,726.76,274.02,417.29,673.45
2008-08,RO,8002.0,47.0,170.26,48.54,266731.3,2415.4,-,-,16.52,35.82,19.42,63.46,1.35,131.11,580.22,0.95,216.89,331.76,305.34,593.69,129.0,640.44,521.48,265.01,395.35,651.95
2008-09,RO,12315.0,52.0,236.83,43.34,355272.6,2142.1,-,-,47.21,34.58,20.78,66.23,1.27,131.69,562.98,1.12,211.28,306.38,253.8,436.12,90.88,591.77,395.1,261.77,389.02,642.25
2008-10,RO,6914.0,52.0,132.96,44.2,186225.5,3326.7,-,-,140.0,33.64,21.89,74.91,0.95,131.99,571.13,1.15,223.39,307.1,241.94,398.21,70.35,562.11,446.21,270.97,398.44,660.94
2008-11,RO,836.0,48.0,17.42,24.37,16037.5,303.1,-,-,189.74,31.94,22.61,81.2,0.69,115.31,515.47,1.05,253.3,341.77,265.38,397.98,89.55,628.38,606.5,293.75,438.94,682.33
